index,Singleplayer,Indie,Adventure,Action,Casual,Simulation,2D,RPG,Story Rich,Strategy,Atmospheric,3D,Exploration,Early Access,Multiplayer,Fantasy,First-Person,Colorful,Anime,Cute,Puzzle,Female Protagonist,Open World,Sci-fi,Pixel Graphics,Funny,Action-Adventure,Shooter,Third Person,Sandbox
495420,177,0,0,293,0,304,0,289,0,0,107,0,0,0,573,0,0,0,0,0,0,0,779,0,0,0,0,0,227,242
2874330,32,21,43,0,64,0,0,0,0,0,38,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346010,0,0,0,0,0,1294,0,0,0,0,0,0,0,0,786,0,0,0,0,0,874,0,0,0,0,0,0,0,0,1172
409710,299,0,122,246,0,0,0,111,334,0,329,0,0,0,0,0,264,0,0,0,0,0,0,169,0,0,0,209,0,0
1139900,547,0,299,726,0,0,0,0,0,233,0,0,0,0,0,0,640,0,0,0,0,0,0,416,0,0,342,231,0,0
573090,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,447,0,0,0,0,0,539,0,0,0,0,0,446,610
1222700,83,50,226,257,0,0,0,0,424,0,130,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,285,0,204,0
424840,585,397,658,167,0,0,0,0,377,158,701,0,0,0,0,0,0,0,0,0,529,198,0,0,0,0,0,0,225,0
207610,1011,0,1447,294,0,0,0,0,1458,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0
617290,189,0,389,467,0,0,0,438,0,0,129,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0
414700,1114,353,583,657,0,0,0,0,567,0,968,0,0,0,499,0,1265,0,0,0,0,0,0,0,0,0,0,0,0,0
431240,169,334,0,0,464,89,0,0,0,89,0,0,0,175,539,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0
1304930,0,0,266,377,0,0,0,0,0,0,324,0,0,0,744,0,553,0,0,0,0,0,0,0,0,0,379,0,0,0
1089980,551,357,372,333,321,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0
